epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0759,0.91503,3.01383,1.18427,0.00333,1,0.87913,0.81174,0.64143,2.81973,0.85035,0.00016,0.00016,0.00016
2,94.5456,0.7768,2.07636,1.03429,0.00324,0.97143,0.96149,0.82261,0.62056,2.54948,0.83323,0.000336634,0.000336634,0.000336634
3,133.945,0.7004,1.55429,1.00794,1,0.76984,0.95548,0.89439,0.57692,2.27763,0.86919,0.000509704,0.000509704,0.000509704
4,173.673,0.73345,1.36785,1.05167,0.92991,0.8,0.93873,0.82423,0.61372,2.34449,0.86044,0.00067921,0.00067921,0.00067921
5,213.685,0.71469,1.32201,1.0024,0.7917,0.74286,0.7209,0.57964,0.67894,2.34602,0.89055,0.000845152,0.000845152,0.000845152
6,254.154,0.6904,1.29859,1.00029,0.83131,0.84501,0.91903,0.84119,0.6656,1.93918,0.91356,0.00100753,0.00100753,0.00100753
7,294.809,0.72987,1.19401,1.00049,0.977,0.91429,0.96036,0.84028,0.60989,1.93976,0.87867,0.00116634,0.00116634,0.00116634
8,334.944,0.70391,1.14989,0.97357,0.77578,0.74286,0.83854,0.64265,0.75184,1.85722,0.92369,0.00132159,0.00132159,0.00132159
9,375.091,0.74284,1.12308,1.01869,0.95616,0.85714,0.91853,0.79589,1.34362,2.30546,1.82085,0.00147328,0.00147328,0.00147328
10,415.265,0.72907,1.10706,0.98771,0.79018,0.75338,0.79407,0.54316,0.87762,2.18387,0.95307,0.0016214,0.0016214,0.0016214
11,455.154,0.70081,1.00359,0.97304,0.92068,0.66345,0.77843,0.67768,0.77283,2.17946,0.94496,0.00176596,0.00176596,0.00176596
12,495.696,0.70669,0.98232,0.99231,0.91708,0.71429,0.802,0.74568,0.83117,2.3635,1.00063,0.0017822,0.0017822,0.0017822
13,535.689,0.67034,0.90439,0.96025,0.84986,0.82857,0.88699,0.7835,0.68525,2.05135,0.87002,0.0017624,0.0017624,0.0017624
14,576.342,0.70355,0.9195,0.99473,0.84568,0.93954,0.93975,0.82519,0.59,1.91211,0.82243,0.0017426,0.0017426,0.0017426
